Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
,,,Hat,Hut,Hat,Sombrero,Sombrero,Chapeau,Topi,Cappello,帽子,모자,Chapéu,Chapéu,Головной убор,หมวก,帽子,帽子,帽子,Nakrycie głowy,Nón,Şapka,Hat
,,,Head,Kopf,Head,Cabeza,Cabeza,Tête,Kepala,Testa,頭,머리,Cabeça,Cabeça,Голова,ศีรษะ,头部,頭部,头部,Głowa,Đầu,Kafa,الرأس
,,,Help,Hilfe,Help,Ayuda,Ayuda,Aide,Bantuan,Guida,ヘルプ,도움말,Ajuda,Ajuda,Справка,ความช่วยเหลือ,帮助,協助,帮助,Pomoc,Trợ Giúp,Yardım,مساعدة
,,,Hiding Core GUI,Grafische Standard-Benutzeroberfläche verbergen,Hiding Core GUI,Ocultando la interfaz básica,Ocultando la interfaz básica,Cacher l'IGU principale,Menyembunyikan Core GUI,Nascondere interfaccia base,コア GUI を隠す。,코어 GUI 숨기기,Escondendo interface básica,Escondendo interface básica,Скрытие элементов основного интерфейса,ซ่อน Core GUI,隐藏核心 GUI,隱藏標準介面,隐藏核心 GUI,Ukrywanie głównego graficznego interfejsu użytkownika,Ẩn GUI Chính,Çekirdek Grafik Kullanıcı Arayüzü gizleniyor,إخفاء Core GUI
,,,Hiding Custom GUI,Individuelle grafische Benutzeroberfläche verbergen,Hiding Custom GUI,Ocultando la interfaz básica personalizada,Ocultando la interfaz básica personalizada,Cacher l'IGU personnalisée,Menyembunyikan GUI Kustom,Nascondere interfaccia personalizzata,カスタムGUIを隠す。,사용자 정의 GUI 숨기기,Escondendo interface personalizada,Escondendo interface personalizada,Скрытие элементов пользовательского интерфейса,ซ่อน GUI แบบกำหนดเอง,隐藏自定义 GUI,隱藏自訂介面,隐藏自定义 GUI,Ukrywanie spersonalizowanego graficznego interfejsu użytkownika,Ẩn GUI Tùy Chỉnh,Özel Grafik Kullanıcı Arayüzü gizleniyor,إخفاء Custom GUI
,,,Idle Animation,Untätigkeitsanimation,Idle Animation,Animación de inactividad,Animación de inactividad,Animation oisif,Animasi Diam,Animazione inattività,待機アニメーション,빈둥대기 애니메이션,Animação de inatividade,Animação de inatividade,Анимация ожидания,แอนิเมชันการอยู่นิ่ง,闲置动画,閒置動畫,闲置动画,Animacja – bezczynność,Hiệu Ứng Động Khi Nhàn Rỗi,Boşta Durma Animasyonu,الرسوم المتحركة خاملة
,,,Image,Bild,Image,Imagen,Imagen,Image,Gambar,Immagine,画像,이미지,Imagem,Imagem,Изображение,ภาพ,图像,圖像,图像,Obraz,Hình Ảnh,Görüntü,صورة
,,,Inappropriate Content,Unangemessener Inhalt,Inappropriate Content,Contenido inadecuado,Contenido inadecuado,Contenu inapproprié,Konten Tidak Pantas,Contenuto non appropriato,不適切なコンテンツ,부적절한 콘텐츠,Conteúdo inapropriado,Conteúdo inapropriado,Недопустимое содержимое,เนื้อหาที่ไม่เหมาะสม,内容不当,內容不當,内容不当,Nieodpowiednie treści,Nội Dung Không Phù Hợp,Uygunsuz İçerik,محتوى غير لائق
,,,An error occurred while unblocking {RBX_NAME}. Please try again later.,Bei der Aufhebung der Blockierung von {RBX_NAME} ist ein Fehler aufgetreten. Bitte versuche es später erneut.,An error occurred while unblocking {RBX_NAME}. Please try again later.,Se produjo un error al desbloquear a {RBX_NAME}. Inténtalo de nuevo más tarde.,Se produjo un error al desbloquear a {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de la levée du blocage de {RBX_NAME}. Veuillez réessayer plus tard.,Terjadi eror saat membuka blokir {RBX_NAME}. Coba lagi nanti.,Si è verificato un errore nello sblocco di {RBX_NAME}. Riprova più tardi.,{RBX_NAME} さんのブロック解除でエラーが発生しました。しばらくしてからやり直してください。,{RBX_NAME} 님의 차단을 해제하는 중 오류가 발생했어요. 나중에 다시 시도하세요.,Ocorreu um erro ao desbloquear {RBX_NAME}. Tente novamente mais tarde.,Ocorreu um erro ao desbloquear {RBX_NAME}. Tente novamente mais tarde.,При разблокировке пользователя {RBX_NAME} произошла ошибка. Повтори попытку позже.,"เกิดข้อผิดพลาดขณะเลิกบล็อค ""{RBX_NAME}"" โปรดลองอีกครั้งในภายหลัง",取消屏蔽“{RBX_NAME}”时出错。请稍候重试。,解除封鎖 {RBX_NAME} 時發生錯誤，請稍後再試。,取消屏蔽“{RBX_NAME}”时出错。请稍候重试。,Wystąpił błąd podczas odblokowywania użytkownika {RBX_NAME}. Spróbuj ponownie później.,Đã xảy ra lỗi khi bỏ chặn {RBX_NAME}. Vui lòng thử lại sau.,{RBX_NAME} adlı kullanıcının engeli kaldırılırken bir hata oluştu. Lütfen daha sonra tekrar dene.,حدث خطأ أثناء إلغاء الحظر عن {RBX_NAME}. الرجاء المحاولة لاحقًا.
,,,Inappropriate Username,Unangemessener Benutzername,Inappropriate Username,Nombre de usuario inadecuado,Nombre de usuario inadecuado,Nom d'utilisateur inapproprié,Nama Pengguna Tidak Pantas,Nome utente non appropriato,不適切なユーザーネーム,부적절한 사용자 이름,Nome de usuário inapropriado,Nome de usuário inapropriado,Недопустимое имя пользователя,ชื่อผู้ใช้ที่ไม่เหมาะสม,用户名不当,使用者名稱不當,用户名不当,Nieodpowiednia nazwa użytkownika,Tên Tài Khoản Không Phù Hợp,Uygun Olmayan Kullanıcı Adı,اسم المستخدم غير لائق
,,,Invalid JSON response received,Ungültige JSON-Antwort erhalten,Invalid JSON response received,Se recibió una respuesta JSON no válida,Se recibió una respuesta JSON no válida,Réponse JSON invalide reçue.,Respons JSON tidak valid diterima,Ricevuta risposta JSON non valida,無効なJSON応答を受信しました,유효하지 않은 JSON 응답 수신됨,Resposta JSON inválida,Resposta JSON inválida,Получен некорректный ответ JSON,ได้รับการตอบสนองจาก JSON ที่ไม่ถูกต้อง,接收到无效的 JSON ,接收到無效的 JSON 回應,接收到无效的 JSON ,Otrzymano nieprawidłową odpowiedź JSON,Đã nhận phản hồi JSON không hợp lệ,Geçersiz JSON yanıtı alındı,استجابة JSON غير صالحة
,,,Invalid teleport destination,Ungültiger Teleport-Bestimmungsort,Invalid teleport destination,Destino del teleport no válido,Destino del teleport no válido,Destination de téléportation non valide.,Tujuan teleportasi tidak valid,Destinazione del teletrasporto non valida,テレポートの移動先が無効です,유효하지 않은 텔레포트 목적지,Destino de teleporte inválido,Destino de teleporte inválido,Некорректное назначение телепортирования.,ปลายทางของการเทเลพอร์ตที่ไม่ถูกต้อง,传送目的地无效,傳送目的地無效,传送目的地无效,Nieprawidłowe miejsce docelowe teleportacji,Điểm đích dịch chuyển không hợp lệ,Geçersiz ışınlanma hedefi,وجهة الانتقال الفوري غير صالحة
,,,Joining server. ({COUNT:int}),Verbindung zum Server wird hergestellt. ({COUNT:int}),Joining server. ({COUNT:int}),Uniéndose a un servidor. ({COUNT:int}),Uniéndose a un servidor. ({COUNT:int}),Connexion au serveur.... ({COUNT:int}),Bergabung ke server. ({COUNT:int}),Connessione al server. ({COUNT:int}),サーバーに接続中。 ({COUNT:int}),서버 입장 중. ({COUNT:int}),Entrando no servidor ({COUNT:int}),Entrando no servidor ({COUNT:int}),Подключение к серверу ({COUNT:int}),กำลังเข้าร่วมเซิร์ฟเวอร์ ({COUNT:int}),正在加入服务器 ({COUNT:int}),正在加入伺服器。（{COUNT:int}）,正在加入服务器 ({COUNT:int}),Dołączanie do serwera. ({COUNT:int}),Đang kết nối máy chủ. ({COUNT:int}),Sunucuya katılıyor. ({COUNT:int}),الانضمام إلى الخادم. ({COUNT:int})
,,,Joining server. {RET:translate}...({COUNT:int}),Verbindung zum Server wird hergestellt. {RET:translate}...({COUNT:int}),Joining server. {RET:translate}...({COUNT:int}),Uniéndose a un servidor. {RET:translate}...({COUNT:int}),Uniéndose a un servidor. {RET:translate}...({COUNT:int}),Connexion au serveur.... {RET:translate}...({COUNT:int}),Bergabung ke server. {RET:translate}...({COUNT:int}),Connessione al server. {RET:translate}...({COUNT:int}),サーバーに接続中。 {RET:translate}...({COUNT:int}),서버 입장 중. {RET:translate}...({COUNT:int}),Entrando no servidor. {RET:translate}...({COUNT:int}),Entrando no servidor. {RET:translate}...({COUNT:int}),Подключение к серверу. {RET:translate}...({COUNT:int}),กำลังเข้าร่วมเซิร์ฟเวอร์ {RET:translate}...({COUNT:int}),正在加入服务器. {RET:translate}...({COUNT:int}),正在加入伺服器。{RET:translate}……（{COUNT:int}）,正在加入服务器. {RET:translate}...({COUNT:int}),Dołączanie do serwera. {RET:translate}... ({COUNT:int}),Đang kết nối máy chủ. {RET:translate}...({COUNT:int}),Sunucuya katılıyor. {RET:translate}...({COUNT:int}),الانضمام إلى الخادم. {RET:translate}...({COUNT:int})
,,,Jump,Springen,Jump,Saltar,Saltar,Sauter,Loncat,Salta,ジャンプ,점프,Pular,Pular,Прыжок,กระโดด,跳跃,跳躍,跳跃,Skok,Nhảy,Zıpla,قفز
,,,Jump Animation,Springanimation,Jump Animation,Animación de salto,Animación de salto,Animation de saut,Animasi Loncat,Animazione salto,ジャンプアニメーション,점프 애니메이션,Animação de salto,Animação de salto,Анимация прыжка,แอนิเมชันการกระโดด,跳跃动画,跳躍動畫,跳跃动画,Animacja – skok,Hiệu Ứng Động Khi Nhảy,Zıplama Animasyonu,حركة قفز
,,,KOs,K.o.,KOs,N.º de KO,N.º de KO,Ko,KO,KO,KO回数,KO 횟수,Nocautes,Nocautes,Нокауты,น็อคเอาท์,击倒数,擊倒數,击倒数,Nokauty,Đánh Bại,Nakavtlar,KOs
,,,Keyboard + Mouse,Tastatur + Maus,Keyboard + Mouse,Teclado + ratón,Teclado + ratón,Clavier + souris,Keyboard + Mouse,Tastiera e mouse,キーボード + マウス,키보드 + 마우스,Teclado + mouse,Teclado + mouse,Клавиатура + мышь,คีย์บอร์ดและเมาส์,键盘+鼠标,鍵盤＋滑鼠,键盘+鼠标,Klawiatura + mysz,Bàn Phím + Chuột,Klavye + Fare,لوحة المفاتيح+الفأرة
,,,Kicked by server. Please close and rejoin another experience,Vom Server gekickt. Bitte schließen und einer anderen Experience beitreten,Kicked by server. Please close and rejoin another experience,Expulsión del servidor. Cierra la experiencia y únete a otra.,Expulsión del servidor. Cierra la experiencia y únete a otra.,Le serveur t'a exclu(e). Quitter le jeu et rejoindre une autre partie,Dikeluarkan dari server. Tutup lalu bergabung ke pengalaman virtual lainnya,Espulso dal server. Chiudi e ricomincia una nuova esperienza,サーバーから退出させられました。閉じてから別のバーチャル空間に参加してください,서버에서 강제 퇴장되었습니다. 종료 후 다른 체험에 참가하세요.,Você foi expulso pelo servidor. Feche a tela e entre em outra experiência,Você foi expulso pelo servidor. Feche a tela e entre em outra experiência,Тебя исключил сервер. Закрой игру и зайди снова.,ถูกเซิร์ฟเวอร์บังคับให้ออก โปรดปิดแล้วเข้าร่วมประสบการณ์อื่น,已被服务器踢出。请关闭并重新加入其他体验。,您被伺服器踢出，請關閉程式並加入新的體驗。,已被服务器踢出。请关闭并重新加入其他体验。,Wyrzucenie z serwera. Zamknij i dołącz ponownie do innego projektu,Bị văng ra bởi máy chủ. Vui lòng đóng và tham gia lại trải nghiệm khác,Sunucu tarafından atıldın. Lütfen kapatıp başka bir deneyime yeniden katıl,أخرجك الخادم. الرجاء المغادرة ثم إعادة الانضمام إلى تجربة أخرى
,,,An error occurred while unfriending {RBX_NAME}. Please try again later.,Bei der Entfernung von {RBX_NAME} als Freund ist ein Fehler aufgetreten. Bitte versuche es später erneut.,An error occurred while unfriending {RBX_NAME}. Please try again later.,Se produjo un error al cancelar la amistad con {RBX_NAME}. Inténtalo de nuevo más tarde.,Se produjo un error al cancelar la amistad con {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de la suppression de l'ami {RBX_NAME}. Veuillez réessayer plus tard.,Terjadi eror saat memutus pertemanan dengan {RBX_NAME}. Coba lagi nanti.,Si è verificato un errore nel togliere l'amicizia a {RBX_NAME}. Riprova più tardi.,{RBX_NAME} さんの友達解除でエラーが発生しました。しばらくしてからやり直してください。,{RBX_NAME} 님을 친구 끊기하는 동안 오류가 발생했습니다. 나중에 다시 시도하세요.,Ocorreu um erro ao cancelar amizade com {RBX_NAME}. Tente novamente mais tarde.,Ocorreu um erro ao cancelar amizade com {RBX_NAME}. Tente novamente mais tarde.,При удалении пользователя {RBX_NAME} из друзей произошла ошибка. Повтори попытку позже.,"เกิดข้อผิดพลาดขณะเลิกเป็นเพื่อนกับ ""{RBX_NAME}"" โปรดลองอีกครั้งในภายหลัง",与“{RBX_NAME}”解除好友关系时出错。请稍候重试。,與 {RBX_NAME} 解除好友關係時發生錯誤，請稍後再試。,与“{RBX_NAME}”解除好友关系时出错。请稍候重试。,Wystąpił błąd podczas usuwania użytkownika {RBX_NAME} z listy znajomych. Spróbuj ponownie później.,Đã xảy ra lỗi khi hủy kết bạn {RBX_NAME}. Vui lòng thử lại sau.,{RBX_NAME} arkadaşlıktan çıkarılırken bir hata oluştu. Lütfen daha sonra tekrar dene.,حدث خطأ أثناء إلغاء الصداقة {RBX_NAME}. الرجاء المحاولة لاحقًا.
,,,Label,Label,Label,Etiqueta,Etiqueta,Étiquette,Label,Etichetta,ラベル,라벨,Rótulo,Rótulo,Метка,ป้ายชื่อ,标签,標籤,标签,Etykieta,Nhãn,Etiket,تصنيف
,,,Leave,Verlassen,Leave,Salir,Salir,Quitter,Keluar,Esci,退出,나가기,Sair,Sair,Выйти,ออก,离开,離開,离开,Opuść,Rời Khỏi,Ayrıl,مغادرة
,,,Left Arm,Linker Arm,Left Arm,Brazo izquierdo,Brazo izquierdo,Bras gauche,Lengan Kiri,Braccio sinistro,左腕,왼팔,Braço esquerdo,Braço esquerdo,Левая рука,แขนซ้าย,左臂,左臂,左臂,Lewa ręka,Tay Trái,Sol Kol,اليد اليسرى
,,,Left Leg,Linkes Bein,Left Leg,Pierna izquierda,Pierna izquierda,Jambe gauche,Kaki Kiri,Gamba sinistra,左足,왼다리,Perna esquerda,Perna esquerda,Левая нога,ขาซ้าย,左腿,左腿,左腿,Lewa noga,Chân Trái,Sol Bacak,الرجل اليسرى
,,,Left Mouse Button,Linke Maustaste,Left Mouse Button,Botón izquierdo del ratón,Botón izquierdo del ratón,Bouton gauche de la souris,Tombol Mouse Kiri,Sinistro/Mouse,左マウスボタン,마우스 왼쪽 버튼,Mouse (esquerdo),Mouse (esquerdo),ЛКМ,ปุ่มซ้ายของเมาส์,鼠标左键,左滑鼠鍵,鼠标左键,Lewy przycisk myszy,Nút Trái Chuột,Sol Fare Düğmesi,زر الفأرة الأيسر
,,,Legs,Beine,Legs,Piernas,Piernas,Jambes,Kaki,Gambe,足,다리,Pernas,Pernas,Ноги,ขา,腿部,腿部,腿部,Nogi,Chân,Bacaklar,الساقين
,,,Loading,Laden,Loading,Cargando,Cargando,En cours,Loading,Caricamento,読み込み中,불러오는 중,Carregando,Carregando,Загрузка,กำลังโหลด,正在载入,正在載入,正在载入,Wczytywanie,Đang Tải,Yükleniyor,جاري التحميل
,,,Loading.,Laden.,Loading.,Cargando.,Cargando.,En cours.,Loading.,Caricamento.,読み込み中。,불러오는 중.,Carregando.,Carregando.,Загрузка,กำลังโหลด.,正在载入。,正在載入.,正在载入。,Wczytywanie.,Đang Tải.,Yükleniyor.,جاري التحميل.
,,,Loading..,Laden ...,Loading..,Cargando..,Cargando..,En cours..,Loading..,Caricamento..,読み込み中..,불러오는 중..,Carregando..,Carregando..,Загрузка,กำลังโหลด..,正在载入..,正在載入..,正在载入..,Wczytywanie..,Đang Tải..,Yükleniyor..,جاري التحميل..
,,,Loading...,Laden ...,Loading...,Cargando...,Cargando...,En cours...,Loading...,Caricam...,読み込み中...,불러오는 중...,Carregando...,Carregando...,Загрузка,กำลังโหลด...,正在载入...,正在載入...,正在载入...,Wczytywanie...,Đang tải...,Yükleniyor...,جاري التحميل...
,,,Animation,Animation,Animation,Animación,Animación,Animation,Animasi,Animazione,アニメーション,애니메이션,Animação,Animação,Анимация,แอนิเมชัน,动画,動畫,动画,Animacja,Hiệu Ứng Động,Animasyon,حركة
,,,Lost connection to server due to timeout,Die Verbindung zum Server wurde aufgrund einer Zeitüberschreitung unterbrochen.,Lost connection to server due to timeout,Se perdió la conexión con el servidor por agotamiento del tiempo de espera,Se perdió la conexión con el servidor por agotamiento del tiempo de espera,Connexion au serveur perdue ; la session a expiré.,Koneksi ke server terputus karena waktu habis,Connessione persa con il server per un errore di time-out,タイムアウトでサーバーへの接続が失われました,시간 초과로 인해 연결 해제됨,A conexão com o servidor foi perdida pois o limite de tempo de espera foi atingido,A conexão com o servidor foi perdida pois o limite de tempo de espera foi atingido,Разрыв соединения с сервером из-за превышения времени ожидания.,สูญเสียการเชื่อมต่อกับเซิร์ฟเวอร์เนื่องจากหมดเวลา,由于超时，与服务器的连接已断开,連線逾時，與伺服器連線中斷,由于超时，与服务器的连接已断开,Utrata połączenia z serwerem z powodu przekroczenia limitu czasu,Mất kết nối với máy chủ do hết thời gian chờ,Zaman aşımı nedeniyle sunucuyla bağlantı kesildi,انقطع الاتصال بالخادم بسبب انتهاء المهلة
,,,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua,Lua ,Lua,Lua ,Lua,Lua,Lua,Lua
,,,Manual,Manuell,Manual,Manual,Manual,Manuel,Manual,Manuale,マニュアル,수동,Manual,Manual,Ручной,ด้วยตัวเอง,手动,手動,手动,Ręcznie,Thủ Công,Manuel,يدوي
,,,Mem,Speicher,Mem,Mem.,Mem.,Mém,Mem,Mem,メモリ,메모리,Mem.,Mem.,Память,หน่วยความจำ,内存,記憶體,内存,Pam.,Bộ Nhớ,Bellek,ذاكرة
,,,Memory,Speicher,Memory,Memoria,Memoria,Mémoire,Memori,Memoria,メモリ,메모리,Memória,Memória,Память,หน่วยความจำ,内存,記憶體,内存,Pamięć,Bộ Nhớ,Bellek,ذاكرة
,,,Menu Items,Menüobjekte,Menu Items,Objetos del menú,Objetos del menú,Objets du menu,Menu Item,Oggetti menu,メニューアイテム,메뉴 항목,Itens de menu,Itens de menu,Пункты меню,รายการเมนู,菜单项目,選單項目,菜单项目,Pozycje menu,Vật Phẩm Trình Đơn,Menü Öğeleri,عناصر القائمة
,,,Menu Navigation,Menünavigation,Menu Navigation,Navegación del menú,Navegación del menú,Navigation du menu,Navigasi Menu,Menu di navigazione,メニューナビゲーション,메뉴 내비게이션,Navegação do menu,Navegação do menu,Навигация в меню,การนำทางบนเมนู,菜单导航,選單導覽,菜单导航,Nawigacja w menu,Điều Hướng Trình Đơn,Menüde Gezinme,قائمة التنقل
,,,Mesh,Mesh,Mesh,Malla,Malla,Maillage,Mesh,Mesh,メッシュ,메시,Malha,Malha,Сетка,เมช,网格,模組,网格,Siatka,Khung Lưới,Mesh,Mesh
,,,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,Parte mesh,MeshPart,MeshPart,MeshPart,MeshPart,Полигональная часть,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart
,,,Misc,Verschiedenes,Misc,Misc.,Misc.,Divers,Lain-lain,Vari,その他,기타,Diversos,Diversos,Разное,อื่นๆ,杂项,其他,杂项,Różne,Khác,Çeşitli,متفرقات
,,,Are you sure you want to reset your character?,Möchtest du deinen Charakter wirklich zurücksetzen?,Are you sure you want to reset your character?,¿Quieres reiniciar tu personaje?,¿Quieres reiniciar tu personaje?,Voulez-vous vraiment réinitialiser le personnage ?,Kamu yakin ingin mengatur ulang karakter kamu?,Vuoi davvero azzerare il tuo personaggio?,キャラクターをリセットしますか？,캐릭터를 정말 재설정할까요?,Quer mesmo reiniciar o personagem?,Quer mesmo reiniciar o personagem?,Сбросить персонажа?,คุณแน่ใจหรือไม่ว่าคุณต้องการรีเซ็ตตัวละครของคุณ?,是否确定要重置人物？,確定重設人偶？,是否确定要重置人物？,Czy na pewno chcesz zresetować postać?,Bạn có chắc là muốn đặt lại nhân vật không?,Karakterini sıfırlamak istediğine emin misin?,هل أنت متأكد من أنك تريد إعادة تعيين شخصيتك؟
,,,Model,Modell,Model,Modelo,Modelo,Modèle,Model,Modello,モデル,모델,Modelo,Modelo,Модель,โมเดล,模型,模型,模型,Model,Mô Hình,Model,الموديل
,,,Mouse Sensitivity,Mausempfindlichkeit,Mouse Sensitivity,Sensibilidad del ratón,Sensibilidad del ratón,Sensibilité de la souris,Sensitivitas Mouse,Precisione mouse,マウス感度,마우스 감도,Sensibilidade do mouse,Sensibilidade do mouse,Чувствительность мыши,ความไวเมาส์,鼠标灵敏度,滑鼠靈敏度,鼠标灵敏度,Czułość myszy,Độ Nhạy của Chuột,Fare Hassasiyeti,حساسية الفأرة
,,,Mouse Wheel,Mausrad,Mouse Wheel,Rueda del ratón,Rueda del ratón,Molette de la souris,Roda Mouse,Rotellina mouse,マウスホイール,마우스 휠,Roda do mouse,Roda do mouse,Колесо мыши,ลูกกลิ้งเมาส์,鼠标滚轮,滑鼠滾輪,鼠标滚轮,Kółko myszy,Con Lăn Chuột,Fare Tekerleği,دولاب الفأرة
,,,Mouselock,Maussperre,Mouselock,Bloqueo del ratón,Bloqueo del ratón,Verrouillage souris,Mengunci Mouse,Blocco mouse,マウスロック,마우스 잠금,Travar mouse,Travar mouse,Фиксация мыши,ล็อคเคอร์เซอร์เมาส์,鼠标锁定,滑鼠鎖定,鼠标锁定,Blokada myszy,Mouselock,Fare Kilidi,قفل الفأرة
,,,Move,Bewegen,Move,Mover,Mover,Se déplacer,Gerakkan,Muovi,移動,이동,Mover,Mover,Передвижение,เลื่อน,移动,移動,移动,Ruch,Di Chuyển,Hareket Et,تنقل
,,,Move Backward,Rückwärts bewegen,Move Backward,Moverse hacia atrás,Moverse hacia atrás,Reculer,Bergerak ke Belakang,Muovi indietro,後ろに移動,뒤로 이동,Mover (trás),Mover (trás),Назад,เลื่อนไปข้างหลัง,后退,向後,后退,Ruch do tyłu,Lùi Lại,Geri Git,انتقال للخلف
,,,Move Forward,Vorwärts bewegen,Move Forward,Moverse hacia delante,Moverse hacia delante,Avancer,Bergerak ke Depan,Muovi in avanti,前に移動,앞으로 이동,Mover (frente),Mover (frente),Вперед,เลื่อนไปข้างหน้า,向前,向前,向前,Ruch do przodu,Tiến Lên,İleri Git,انتقال للأمام
,,,Move Left,Nach links bewegen,Move Left,Moverse a la izquierda,Moverse a la izquierda,Aller à gauche,Bergerak ke Kiri,Muovi a sinistra,左に移動,왼쪽으로 이동,Mover (esquerda),Mover (esquerda),Влево,เลื่อนไปทางซ้าย,左移,向左,左移,Ruch w lewo,Sang Trái,Sola Git,انتقال لليسار
,,,Move Right,Nach rechts bewegen,Move Right,Moverse a la derecha,Moverse a la derecha,Aller à droite,Bergerak ke Kanan,Muovi a destra,右に移動,오른쪽으로 이동,Mover (direita),Mover (direita),Вправо,เลื่อนไปทางขวา,右移,向右,右移,Ruch w prawo,Sang Phải,Sağa Git,انتقال لليمين
,,,Movement Mode,Bewegungsmodus,Movement Mode,Modo de movimiento,Modo de movimiento,Mode déplacement,Mode Gerakan,Modalità movimento,動作モード,이동 모드,Modo de movimento,Modo de movimento,Режим передвижения,โหมดการเคลื่อนไหว,移动模式,移動模式,移动模式,Tryb ruchu,Chế Độ Chuyển Động,Hareket Modu,وضع الحركة
,,,"1,2,3...","1,2,3...","1,2,3...","1, 2, 3...","1, 2, 3...","1, 2, 3...","1,2,3...","1, 2, 3...",1、2、3...,"1, 2, 3...","1, 2, 3...","1, 2, 3...","1,2,3...","1, 2, 3...",1、2、3……,1、2、3……,1、2、3……,"1, 2, 3...","1, 2, 3...","1, 2, 3...","1,2,3..."
,,,Arms,Arme,Arms,Brazos,Brazos,Bras,Lengan,Braccia,腕,팔,Braços,Braços,Руки,แขน,手臂,手臂,手臂,Ręce,Tay,Kollar,أذرع
,,,Neck Accessory,Hals-Accessoire,Neck Accessory,Accesorio para el cuello,Accesorio para el cuello,Accessoire de cou,Aksesori Leher,Accessorio collo,首用アクセサリ,목 장신구,Acessório de pescoço,Acessório de pescoço,Аксессуар для шеи,ไอเท็มเสริมสำหรับคอ,颈部配饰,頸部飾品,颈部配饰,Akcesorium – szyja,Phụ Kiện Cổ,Boyun Aksesuarı,إكسسوار للرقبة
,,,Network error {RBX_NUMBER},Netzwerkfehler {RBX_NUMBER},Network error {RBX_NUMBER},Error de red {RBX_NUMBER},Error de red {RBX_NUMBER},Erreur réseau {RBX_NUMBER},Eror jaringan {RBX_NUMBER},Errore di rete {RBX_NUMBER},ネットワークエラー {RBX_NUMBER},네트워크 오류 {RBX_NUMBER},Erro de rede {RBX_NUMBER},Erro de rede {RBX_NUMBER},Ошибка сети {RBX_NUMBER},เกิดข้อผิดพลาดกับเครือข่าย {RBX_NUMBER},网络错误 {RBX_NUMBER},網路錯誤 {RBX_NUMBER},网络错误 {RBX_NUMBER},Błąd sieci {RBX_NUMBER},Lỗi mạng {RBX_NUMBER},Ağ hatası {RBX_NUMBER},خطأ في الشبكة {RBX_NUMBER}
,,,New Follower,Neuer Follower,New Follower,Seguidor nuevo,Seguidor nuevo,Nouvel abonné,Pengikut Baru,Nuovo follower,新規フォロワー,새 팔로워,Novo seguidor,Novo seguidor,Новый подписчик,ผู้ติดตามใหม่,新粉丝,新追蹤者,新粉丝,Nowy obserwujący,Người Theo Dõi Mới,Yeni Takipçi,متابع جديد
,,,New Friend,Neuer Freund,New Friend,Nueva amistad,Nueva amistad,Nouvel ami,Teman Baru,Nuovo amico,新しい友達,새 친구,Novo amigo,Novo amigo,Новый друг,เพื่อนใหม่,新好友,新好友,新好友,Nowy znajomy,Bạn Mới,Yeni Arkadaş,صديق جديد
,,,Not authorized to join this experience,"Du bist nicht befugt, dieser Experience beizutreten",Not authorized to join this experience,No tienes autorización para unirte a esta experiencia,No tienes autorización para unirte a esta experiencia,Non autorisé(e) à rejoindre cette expérience,Tidak terotorisasi untuk bergabung ke pengalaman virtual ini,Non hai l'autorizzazione per partecipare a questa esperienza,このバーチャル空間への参加が承認されていません,체험 참여 권한이 없습니다,Você não tem autorização para entrar nesta experiência,Você não tem autorização para entrar nesta experiência,Нет доступа к этому плейсу,ไม่ได้รับอนุญาตให้เข้าร่วมประสบการณ์นี้,没有加入此体验的权限,權限不足，無法加入此體驗,没有加入此体验的权限,Brak autoryzacji do dołączenia do tego projektu,Không có quyền tham gia trải nghiệm này,Bu deneyime katılma yetkin yok,غير مسموح لك بالانضمام إلى هذه التجربة
